"bead.beadID";"bead.beadType"
0;"-"
1;"string space Because Mary humbled herself God exalted her by choosing her to be the Mother of His Son. Mary humbled herself God exalted her by choosing her to be the Mother of His Son."
2;"small bead"
3;"big bead"
4;"bead space"
5;"icon"
6;"crusifix"
